description,price,address,images,sourceUrl,source,listedDate,governorate,originalArea,area,pricePerSqFt,propertyType,zoning,originalPrice,coordinates,image_list,nearWater,roadAccess,utilities
S+3 avec jardin en vente à Chotrana 1,570000,"Ariana, il y a quelques secondes",https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67e53b7dca3467b14e6e05f3/Appartements/Ariana/Chotrana_1/S3_avec_jardin_en_vente_Chotrana_1_/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,570 000 DT,"[10.200357023144045, 36.86662416796445]",['https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300'],False,True,True
S+3 en vente à La Soukra,320000,"Ariana, il y a quelques secondes",https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67daa3a4fd1c6385be389b97/Appartements/Ariana/La_Soukra/S3_en_vente_La_Soukra/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,320 000 DT,"[10.195772681756779, 36.8687981255202]",['https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300'],False,True,True
S+2 direct promoteur en vente à Chotrana 1,439235,"Ariana, il y a quelques secondes",https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67e53834fd1c6385be3e7e1e/Appartements/Ariana/Chotrana_1/S2_direct_promoteur_en_vente_Chotrana_1_/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,439 235 DT,"[10.194732966010696, 36.85478054711051]",['https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300'],False,True,True
S+1 direct promoteur en vente à Chotrana 1,214000,"Ariana, il y a une minute",https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67e53602fd1c6385be3e7c56/Appartements/Ariana/Chotrana_1/S1_direct_promoteur_en_vente_Chotrana_1_/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,214 000 DT,"[10.203118814012301, 36.870700191511325]",['https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300'],False,True,True
S+3 à vendre,340000,"Ariana, il y a une minute",https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/670518bf09cd6cca02497e91/Appartements/Ariana/La_Soukra/S3_vendre/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,340 000 DT,"[10.198855716683, 36.871026092384305]",['https://www.tayara.tn/mediaGateway/resize-image?img=98/98a1d224-26da-4401-b11c-07c93b849ad2&w=100&w=300'],False,True,True
📍LA SOUKRA : APPARTEMENT S+2 A VENDRE,285000,"Ariana, il y a 2 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=9b/9bb731cb-dce5-4230-9151-3f1ca6f46072&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/6806270ac1f8f57898ddd66d/Appartements/Ariana/La_Soukra/LA_SOUKRA_APPARTEMENT_S2_A_VENDRE/,tayara.tn,2025-04-21,Ariana,,,,autre,residential,285 000 DT,"[10.184694786313631, 36.869533837115014]",['https://www.tayara.tn/mediaGateway/resize-image?img=9b/9bb731cb-dce5-4230-9151-3f1ca6f46072&w=100&w=300'],False,True,True
Local commercial à ezzahra,500,"Ben Arous, il y a 4 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=84/848a981d-4a36-4f5d-93c7-37c04b97e1a1&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680626a9c5beda2b51cbe1fd/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Ben_Arous/Ezzahra/Local_commercial_ezzahra/,tayara.tn,2025-04-21,Ben Arous,,,,autre,commercial,500 DT,"[10.229041202086256, 36.74623186510311]",['https://www.tayara.tn/mediaGateway/resize-image?img=84/848a981d-4a36-4f5d-93c7-37c04b97e1a1&w=100&w=300'],True,True,True
Un S+0 meublé à louer annuelle situé au RDC dans un endroit calme à l’AFH Mrezga Nabeul,400,"Nabeul, il y a 5 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=fe/fe0755ba-c9b1-46b6-940f-a8a0e867eeb9&w=100&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/67b9a925bf049e957ead5225/Appartements/Nabeul/Mrezga/Un_S0_meubl_louer_annuelle_situ_au_RDC_dans_un_endroit_calme_lAFH_Mrezga_Nabeul_/,tayara.tn,2025-04-21,Nabeul,0.0,0.0,,autre,unknown,400 DT,"[10.1815, 36.8065]",['https://www.tayara.tn/mediaGateway/resize-image?img=fe/fe0755ba-c9b1-46b6-940f-a8a0e867eeb9&w=100&w=300'],False,True,True
A LOUER S+3 – LA SOUKRA – TEL 56306032– FB.7789,1400,"Ariana, il y a 5 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0afa5ef7-061a-4043-a8fe-998f9a9b1ea6&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062684c5beda2b51cbe1c3/Appartements/Ariana/La_Soukra/A_LOUER_S3_LA_SOUKRA_TEL_56306032_FB7789/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,1 400 DT,"[10.192115537513748, 36.85461638590483]",['https://www.tayara.tn/mediaGateway/resize-image?img=0a/0afa5ef7-061a-4043-a8fe-998f9a9b1ea6&w=300'],False,True,True
Appart S+2 meublé à Ennasr 2,1200,"Ariana, il y a 5 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=b2/b2e448a9-b5aa-4636-a70a-191031abebb3&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062664c5beda2b51cbe18f/Appartements/Ariana/Cit_Ennasr_2/Appart_S2_meubl_Ennasr_2/,tayara.tn,2025-04-21,Ariana,2.0,22.0,54.55,autre,unknown,1 200 DT,"[10.194085230288938, 36.8537406576804]",['https://www.tayara.tn/mediaGateway/resize-image?img=b2/b2e448a9-b5aa-4636-a70a-191031abebb3&w=300'],False,True,True
